tweet,label,lang
rt @user personnage ainsi q tte la clique gauchiste deguise 1 macronistes !!ont ttes ls qualites requises qui ont etaient inculq,1,FR
@user @user @user bah oui t'as raison l'autre c'est un mongol.,1,FR
moi j'ai personne à qui m'adresser pour réclamer. le voisin c'est un attardé puant et bruyant dans les administrat… @url,1,FR
@user @user c...est vrai que les anchois sont aller sur la lune et invente de million de technologie !,0,FR
eh les renois faut se réveiller la @url,0,FR
@user @user en algerie les migrants sont expulsés dans le désert je crois bien qu'ils ont une autre vision… @url,1,FR
@user sjw et féministe twitter un sale combo,0,FR
@user @user tu sais aussi pourquoi est au dessus ? parce que si veut demain bah ya plus d'ani... @url,0,FR
@user @user mytho t'as juste voulu te faire ken par les renois de ton lycée ils ont pas voulu de to… @url,1,FR
c’est un giga attardé mdrrr ils va vraiment se faire shoote @url,1,FR
#duisburg 4 réfugiés arabes lardent de coups de couteau une ado allemande enceinte de 5 mois qui cru qu’elle p… @url,1,FR
@user dekoi tu parle jte dis ta ps honte de dire half black lieu de half pakpak attardé,0,FR
nous aussi nous luttons contre le colonialisme en l'occurrence la colonisation de peuplement africaine et arabo-mu… @url,1,FR
@user @user @user alors pas du tous toi tu es vraiment attardé,1,FR
@user sale arabe ( arrête avec tes hontes toi ),1,FR
le « sale juif » mis en avant contrairement aux autres mdr #lejouroujaibrulemoncoeur,1,FR
@user ohhh la violence je meuuurs,0,FR
au vu de cette simple declaration difficile de savoir si affaire un neo-nazi un gauchiste ou un islamiste. @url,0,FR
@user ce qui est une offense au terrorisme c'est de voir nos dirigeants qui ne font rien quant à la montée… @url,1,FR
glik tu es un gros mongol,1,FR
@user quel mongol ils n'ont qu'à pas donner des salaires monstrueux au moindre joueur de merde qui vient,1,FR
@user @user @user arrete de t'enerver t'es pas crédible dirait un gros con de gamin attardé je voi… @url,1,FR
irl une gauchiste bobo anti-raciste : « quand je lis @user ou @user de part leurs provocations i… @url,1,FR
@user t’a vu gl dirait un attardé...,1,FR
forum islam: au nom de la lutte contre le séparatisme et le terrorisme l'etat chinois entreprend la désislamisati… @url,1,FR
@user @user @user donne toujours le sale boulot à l arabe de service et ces énergumènes se sentent intégrés,1,FR
@user les renois c'est les premiers à tailler les rebeus mais quand nous les tacle pour rigoler ils sorten… @url,1,FR
@user tu te crois intelligent avec ta réflexion facebook d'attardé ?,1,FR
rt @user c'est con un gauchiste quand meme !!! @url,0,FR
shoutout les daronnes rebeus avec leurs fils adorés @url,1,FR
@user @user l'empire mongol,0,FR
@user @user @user et vous vous êtes contres la pma pour tout le monde et contre l’avortement. el… @url,0,FR
@user pour ou contre l'avortement ?,0,FR
bordel y'a un sale arabe d'algerien qui insulte mère de pute parce que je l'ai supprimé de snap après qu'il m'ai… @url,1,FR
@user @user leur violence contre l'ivg les homosexuels le mariage pour tous est largement cobdamnabl… @url,1,FR
@user @user @user d'autant plus bizarre que flavius josèphe est resté juif jusqu'au bout des ongles.,0,FR
quand je sors de chez le coiffeur j’suis vraiment le plus beau de tous les rebeus,0,FR
@user @user @user @user @user @user @user la vraie violence c’est de force… @url,1,FR
mais putain respecte ton chat lui au moins il fait pas le mongol pour attirer l'attention @url,1,FR
peut s'attendre à des lendemains difficiles pour le royaume-uni si jeremy #corbyn islamo-gauchiste de la pir… @url,0,FR
@user t’es surtout un attardé,1,FR
@user @user oui je ne comprends pas pourquoi ceux qui veulent accueillir les migrants n'en prennent pas… @url,0,FR
@user @user j'essaie de bien comprendre maintenant je sais que quand dit qu'on est antisioniste il… @url,0,FR
@user quand tu lui dit que la commission est un monstre anti démocratique non élu il te traite de débile! il vi… @url,1,FR
ces dames arabes toujours à se plaindre @url,0,FR
@user @user l'état civil chez les renois c'est en option aussi.,1,FR
@user @user @user halim95 au lieu d' hurler comme un attardé mental ouvrez les yeux sur les parole… @url,1,FR
@user dirait un gauchiste qui chouine source ?,1,FR
@user j'ai jms dit le contraire sale arabe juste c'est comme si pr ton annif je te paie une ps4 avec red dead,1,FR
jvois vla les renois comment il parle des blanc sa vnr et tu lui sors c'est raciste il te dis très sereinement … @url,1,FR
rejetez le machisme blanc vous aurez le machisme africain.,1,FR
doudoune et ugg vraiment les renois abusent #jaimelestylehivermaispaslefroid #jsuisunevraigwada,0,FR
c est qui le mongol en face bourdin? @url,0,FR
#cedricherrou demande aux politiques français de gérer des migrants. quid des dirigeants africains + occupés à s'en… @url,0,FR
je suis coincé à berlin entre une manifestation d’extrême droite contre l’avortement une autre de gauchistes et un… @url,1,FR
@user @user liebig . comme tout bon gauchiste attise le racisme anti blanc et anti français !!!!,1,FR
@user @user et évidemment pas capable de m'envoyer un lien pauvre attardé random congénital. maintenant… @url,1,FR
@user tu nous ramène une maladie de jérusalem?],1,FR
@user la moitié des renois ici ils ont le seum contre les arabes mais c bon jtweet sur les renois 1 fois s’attaque trop à eux,0,FR
@user @user @user non mais laisse le ce gros mongol il va tweeter un complot de l uefa pro catalan dans 5min,1,FR
vidéo voici comment des migrants africains vivent en #france c’est pire qu’en #afrique @url,1,FR
@user décidément n'importe quel attardé peut de nos jours détenir la carte professionnelle. revoyez le con… @url,0,FR
@user mathilde c est normal il bien une tète intello attardé !doux baisers,1,FR
@user @user @user mr simon vous ne pouvez justifier voir atténuer la violence des propos de mr zemmou… @url,0,FR
Être 4 renois dans une 206 musique fond vapotes à gogo et oublier les papiers de la voiture,1,FR
je suis végétarien et voici ce que rencontre avec un éleveur mongol m'a fait réaliser sur l'écologie @url,0,FR
@user @user @user de plus la majorité des migrants venant en france ne cherchent pas du tout le n… @url,0,FR
@user j'espère que pas eu un mongol qui essayé de prouver ça en sautant depuis son balcon,1,FR
rt @user y'a une meuf dans classe elle se pleins du racisme envers les arabes mais taleur elle traiter un asiatique de ching cho,1,FR
@user c'est un golden retriever une race créée par des blancs ces ching chong ne méritent ni nos chiens ni nos inventions.,0,FR
ce n'est pas seulement à #chateaurouge l'avancée de l'immigration et de l'islamisation sont visibles dans nos rues… @url,1,FR
dc maintenant dire que @user ou le @user sont des lobby juif et sioniste sachant qu’il se revendique tel que… @url,0,FR
@user @user @user @user @user @user @user bah précise qui tu demande t'es con ou t'es attardé ?,1,FR
musée mémorial des victimes du terrorisme,0,FR
c'est france inter sur papier repère gauchiste,1,FR
je suis trop attardé sur le bonheur des gens j'ai laisser passer l'mien ...,1,FR
ce n’est pas tous les renois qui suivent son raisonnement ne l’insulte pas tu perds des hassanets pour rien @url,0,FR
 le hashtag #pasdevague sonne enfin le glas de l'ideologie laxiste gauchiste qui predomine depuis des annees au se @url,1,FR
@user @user mdrrrr attends t'as vraiment cru qu'ils allaient pas répondre à une attardé qui dit d… @url,1,FR
@user @user fascinant la capacite des gauchistes tjrs rejeter la faute sur les autres. cessez dimp… @url,1,FR
@user @user @user les arabes empruntent le zéro aux indiens au ix eme siècle !!!,0,FR
@user @user mais c'est une vidéo qui tourne bande de mongol mdrr,1,FR
zemmour aphatie radicalité de l'un terrorisme intellectuel de l'autre ... une maladie: les idéologies une vic… @url,1,FR
@user sale juif musulmans je vais salé tes morts et les manger,1,FR
qui de deter aller au chinois ds la semaine la j...ai trop envie d...un noich,0,FR
@user laisse tomber t’es un mongol,1,FR
@user j'y peut rien si t'es attardé et ta pas compris,1,FR
euthanasie avortement peine de mort #pma #gpa la société contre la vie bat son plein et le diable vous embra… @url,0,FR
c'est tres classique qu'apres une periode gauchiste un redressement s'effectue d'autant plus violent que la period @url,0,FR
@user c’est de la violence dont vous êtes le produit?,0,FR
bon débarras ! laisse le journal lemonde pleurer adepte de l’islamisation et de l’africanisation de notre conti… @url,1,FR
est-ce que ça existe des familles renois qui adopte des enfants blancs ?,1,FR
@user que des renois qui sont d'accord avec son tweet ...,1,FR
@user ya pas besoin d’avoir 2000 personne pour qu’il ait danger. un rageux gauchiste suffit.,1,FR
@user @user @user que mongol,1,FR
@user @user et puisqu'on est là dessus les chiffres soit disant arabes que nous utilisons ne sont p… @url,0,FR
B98 ??? t'as re... @url,0,FR
qu'attendre d'un gauchiste moustachu la staline ? Ça! @url,0,FR
@user les renois du havre c'est des bon barges,1,FR
@user mais je suis tout fait d'accord avec vous. je ne suis pas un islamo-gauchiste et je ne nie pas l'antisem... @url,1,FR
@user @user @user @user @user juste un gauchiste toujours à donner des leçons de morale,0,FR
us #pittsburgh 11 morts dans l’attaque de la synagogue #treeoflife assaillant arrêté un néo nazi complotiste anti… @url,1,FR
@user pareil moi c est tout le temps de la violence genre j assisté à un meurtre,1,FR
@user @user putain j'ai tellement peur devant tant d'argument d'attardé,1,FR
d'autres moyens sont déployés pour empêcher l'exode de migrants economiques africains et décourager leur transit pa… @url,1,FR
candidate démocrate en iowa interview sur les menaces contre l’avortement en oregon États qui ont commencé à vote… @url,1,FR
@user @user un gros mongol qui va porter plainte pour un compte parodique heureusement que la hon… @url,1,FR
ya des renois dans tl cest mariage franchement,1,FR
@user tu rigolais aussi quand charb allait acheter son pain avec une protection policière pauvre gauchiste demeuré ?,1,FR
@user @user vous comprenez tout de travers. il n'appelle pas les africains à franciser leurs noms… @url,0,FR
@user et je vois pas en quoi traiter de mongol serait une insulte ? espèce de russe,1,FR
@user @user les frères musulmans dans tout leur délire complotiste antisémite et supprémaciste,1,FR
nikomouk sale arabe toi et ton poignet tordu — azzedine fdp tout trikard ta grand mere @url,1,FR
bien des migrants vivaient aussi dans l'illégalité aux États-unis @url,0,FR
@user @user mairie socialope islamo-gauchiste traitre à la france pour résumer,0,FR
le secours catholique ardent promoteur de l'ensauvagement et de l'islamisation de l'europe ! son catholicisme dévo… @url,1,FR
@user @user vous connaissez un autre mot que extreme droite madame la gauchiste? ca fait un peu cuc... @url,0,FR
l'islamisation de la france en pleine expansionle résultat de l'infiltration des musulmans ds ts les strates de la… @url,0,FR
- grèce : augmentation du nombre d’enfants réfugiés et migrants… @url,0,FR
dois mongol @url,1,FR
les rebeus il glo à la fac grâce à la barbe,0,FR
les latinos les renois @url,1,FR
@user il également laissé entendre qu'islam = terrorisme. tranquillou un samedi soir sur une chaîne du se… @url,1,FR
@user eh bin tu restes à oran!!! sale arabe que tu es,1,FR
les tutos en français sur youtube c’est insupportable les 3/4 des vidéos c’est des mecs ils te parlent comme si t’étais un attardé,0,FR
alors pourquoi cette condamnation ? la faute à une justice « gauchiste » à de mauvaises fréquentations ?! vous ête… @url,0,FR
@user dirait un gros daron antillais sur la derniere,0,FR
plutôt déçu du début de la s6 de house cards qui s'attarde trop sur l'héritage de francis et pas assez sur l'évo… @url,1,FR
@user @user ah arrive le gauchiste ne supportant pas qu'on ne puisse avoir un avis different. bon blocage faites vous plaisir,1,FR
@user @user ptdrrrrr même aps c’est pck il fait que rt dès truc et sais que la plupart des renois d… @url,1,FR
@user je ne suis pas un gauchiste comme tu le dis. je ne suis jamais considere de gauche. toi tu es... @url,0,FR
ce qui tue c'est que meme offset il en marre de cardi b wallah apars sa reuss personne peut la supporte cette grosse mongol,1,FR
@user ah oui le tryptique immigration délinquance terrorisme. qui est conforté par le nombre d'attentats te… @url,1,FR
mais ferme ta gueule les renois fake woke ptn @url,1,FR
arrêtez de crier à l'invasion quand la méditerranée est devenu le cimetière de la majorité des mig… @url,1,FR
@user tkt ses des mongol,1,FR
@user c pas pro wallah c à cause d’eux qu’on est tous vu comme des mongol,1,FR
@user @user @user ouais mais si les arabes ont perdu la et pas ailleurs c'est aussi parce que nous… @url,0,FR
les chemins montagneux à 1700 m: les nouvelles voies empruntées par les migrants africains pour rejoindre l’italie… @url,1,FR
tout comme l'allemand mène au nazisme quel attardé ce mec @url,1,FR
quand croise des rebeus,0,FR
@user mdrrrrr engage sale arabe,1,FR
inviter des arabes et des noirs sur un plateau télé c’est p…,0,FR
@user un vlog d'attardé à l'ancienne,1,FR
les renois à rennes savent que courir,0,FR
je suis en train de nettoyer chambre et vous savez sur quoi je m’attarde le plus ? le rangement de mon makeup ma… @url,1,FR
@user @user @user @user ? quelle forme de violence ? je pose juste la question de savoir ce q… @url,0,FR
série d’agressions avec violence : “des faits de trop mais peu nombreux” en corse @url @url,1,FR
@user @user @user @user bah meilleur que tes mensonges de naïf attardé qui croit que la loi… @url,1,FR
@user je déteste alain soral. c’est un raciste antisémite complotiste manipulateur,0,FR
@user si vous voulez mon avis le patient mike doit canaliser tout son amour sous forme de violence...,0,FR
@user @user @user le probleme c'est qu'un gauchiste profond peut rédiger un tel tweet. gauche=maladie mentale,1,FR
@user @user blabla de politicard attardé cherchant le buzz,1,FR
@user @user @user @user @user @user mongol,1,FR
bon les renois vous êtes retourné chez h&amp;m depuis votre cinéma là ?,1,FR
@user bouahahhaa il se branle sur les cosplay de sneaky cet attardé,0,FR
pour en finir avec la cruelle imposture des migrants (4/4) - abbé olivie... @url via @user,1,FR
non mais c'est quoi ce mongol macron il vit dans quel monde,0,FR
#harcèlement sociale. piratage informatique. vandalisme auto,0,FR
même histoire bi-llahi.. alala les hommes des vrais mongol pour la plus part @url,1,FR
@user @user @user mdrr dirait le mien j’dois le réanimer toutes les 5 minutes ce mongol..,1,FR
@user c'est un helicoptere attarde mental,0,FR
@user @user jeu chui attardé ui @url,1,FR
@user @user t'est matrixé ou juste attardé gros fdp?,1,FR
mdrr fallou mongol un vrai saï saï regardez le deal qu’il pose à l’animatrice... @url,1,FR
rilès quand il lâche 2 3 mots rebeus dans ses sons il mtue,1,FR
faut vraiment être un attardé mentale pour dire le projet de post malone c’est l’album de l’année,0,FR
@user @user @user @user en quoi dire sale arabe relève de la dénonciation légitime des… @url,1,FR
@user c'est là qu'on voit que ce sont des réfugiés parce que dans son pays il aurait au moins une machette.,1,FR
@user et le rire de ce mongol de lucas tout bourré,1,FR
@user @user merde aux juifsmerde aux arabesmerdes aux blancs aux noirs.nous sommes des humains un point c est tout !,1,FR
@user putain ce gars... même quand j'étais jeune et gauchiste je ne pouvais pas le voir en peinture ce fdp !,1,FR
@user les rebeus tu leur files un flingue ou une grosse cylindrée ils se sentent plus pisser....,1,FR
@url - dans ce genre le rap mongol vaut le détour ! @url,1,FR
@user comme tout bon gauchiste qui se respecte vous préférez critiquer le fait que l’on ai parlé de ce type… @url,1,FR
#grandremplacement le gvt de #madrid n'a pas l'intention d'expulser les #migrants mineurs marocains et leurs fami… @url,1,FR
@user nasser kiffe les rebeus cherche pas,1,FR
ras-le-bol massif de l'islamisation d… @url,1,FR
@user @user il faut se poser la question : la france veut-elle encore plus de violence et d'agressions? car… @url,0,FR
qué mongol ce germain il court jusqu’au champs Élysée au lieu de rester placé devant les cages,0,FR
la diarrhee gauchiste en pls...n#bolsonaro @url,1,FR
@user vive les rebeus @url,0,FR
pensez-vous que les rebeus et renois s’aiment réellement ?,0,FR
les meufs renois grosse c ultra rare jai limpression,0,FR
@user je suis le copain un peu bizarre celui que t'aime bien malgré le fait qu'il soit un peu attardé,1,FR
@user mais dirait les renois c’est pas des êtres humains vu comment il en parle????,1,FR
@user @user 2/2 de predateurs mangent aussi par gout renseigne toi le chat est l...exemple par... @url,0,FR
#europe #france grèce: les transferts de réfugiés et migrants vers le continent s’accélèrent  @url,0,FR
40 années de laxisme gauchiste !!!! @url,1,FR
je déteste @user sale arabe @url,1,FR
utopie gauchiste,1,FR
l'attardé qui marque,0,FR
t’aimes bien les rebeus ? — j’ai rien contre mdrr @url,0,FR
@user @user @user @user absolument rien compris tu viens de dire que t’étais à l’école espèce d’attardé,1,FR
@user @user merci pour l...insulte.n@url,1,FR
mais joséphine arrive à pecho des rebeus avec sa couleur de cheveux? — mdr vous la sous-estimez beaucoup trop @url,1,FR
rt @user la logique d'un gauchiste #npc #npcmeme @url,0,FR
avec tout ses rebeu et ses renois en @user Éric zemmour du faire une dépression quand la @user gagné la coupe du monde.,1,FR
@user @user ostie que t'es mongol,1,FR
