tweet,label,lang
صلاة الفجر خير لك من ترديد بول البعير وسبي النساء واغتصاب طفلة نظافة ونشاط وحيوية #عقلانيون,1,AR
صراحة نفسي اشوف ولاد الوسخة اللي قالوا مدرب اجنبي منك لله ربنا ياخدك ي… @url,1,AR
طيب! هي متبرجة وعبايتها ملونه وطالعة من بيتهم بدون ....... @url,1,AR
@user @user انا اوافقك بخصوص السوريين و العراقيين اما بخصوص السعودي مو بحاجه انه يقعد بالكويت بدو… @url,0,AR
هذه السعودية التي شعبها شعب الخيم و بول البعير  الذي يستهزأ بها الناس,0,AR
ما عارف كنت شايفها منحرفة شديد وانا صغير ليه @url,1,AR
@user @user تخيل يرد عليك يقولك حسب معلوماتنا ان سكان الارض يشربون بول البعير,1,AR
صباح التوكل على الله والسعي على رزقه والثقة فيما عنده #افريقيا_يا_اهلى,0,AR
وانتي مال امك يا مطلقة يا بايرة ياوش قنوات @url,1,AR
@user @user الكردي كلب من يوم يومه بحاجة دائما لسيد وهلا اصبحتم خنازير اسرائيل بمرتبة الكلب,1,AR
@user و مدعمتهاش ليه فى كاس العالم يا جبان يا وسخ,1,AR
خنازير فعلت فعلاً ..,1,AR
لكن حرمة متبرجة تقف على المسرح وتغني امام الر… @url,0,AR
@user @user ابن سلمان ابن ملك  بن ملك معروف من جد من لاب ومن الام رجال قهر خنازير المجوس وذنابها.… @user,0,AR
ي قصارية ي بايرة,1,AR
يارب انصرنا #افريقيا_يا_اهلي,0,AR
@user @user @user واضح انكم تكذبوها ع سالفه ان الحريم يقعدن بالارض  ولا انا فهمت غلط ودرعمت؟,1,AR
واحده بايره,1,AR
@user @user اعراب همج. ايش تتوقع من شاربين بول البعير,1,AR
زمان كان الرجال فوق الخيل والحريم يتفرجون والان صا… @url,0,AR
@user @user انت اكبر المشردين بايع ارضك وعرضك وتتكلم على اسيادك السعودية  ي كلب ي مرتزق ي خنزير,1,AR
جواب على متدخل من الحسيمة...فقد صوابه و بدأ يتكلم عن بول البعير..و  عن رحيل احباب العربية..لا اعرف اين؟ هل الى اورو… @user,1,AR
@user @user @user كتب الشيعة تطفح بروايات شرب بول البعير عن الصادق والكاظم أنتي قاعده تسبين الصا… @url,0,AR
@user @user @user @user يا شارب بول البعير روح خذ لك كاس بول بعير مصفى وأشربوا على شرف إللي ما عودو شرف بن خرفان,1,AR
الصور العارية واجسام البنات ومقاطع منحرفة ، ستشهد عليها الاصابع يوم القيامة ، كفاكم استهانة قالجنة اغلى,0,AR
@user @user @user يعني مش هيك بعبرو عن التحرش الجنسي بلبنان,1,AR
@user @user صح لسانك بس الكلب وفي وهذا خنزير نتن,1,AR
@user @user @user أمك وأختك هي بنت 100 خنزير يا شاربي بول البعير يا متخلفون,1,AR
